date,username,operator,binding_energy,rbs,repressors,IPTG_uM,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20171018,sbarnes,009,-12.58,auto,0,0.0,3361.6167226248335,0.0,0.0
20171018,sbarnes,009,-12.58,auto,0,0.1,3412.549231366357,0.0,0.0
20171018,sbarnes,009,-12.58,auto,0,5.0,3337.4606514459633,0.0,0.0
20171018,sbarnes,009,-12.58,auto,0,10.0,3309.901732058498,0.0,0.0
20171018,sbarnes,009,-12.58,auto,0,25.0,3267.004381501184,0.0,0.0
20171018,sbarnes,009,-12.58,auto,0,50.0,3330.4390626268346,0.0,0.0
20171018,sbarnes,009,-12.58,auto,0,75.0,3394.8052178538524,0.0,0.0
20171018,sbarnes,009,-12.58,auto,0,100.0,3361.7019067710166,0.0,0.0
20171018,sbarnes,009,-12.58,auto,0,250.0,3296.2793033856196,0.0,0.0
20171018,sbarnes,009,-12.58,auto,0,500.0,3213.8167462168344,0.0,0.0
20171018,sbarnes,009,-12.58,auto,0,1000.0,3196.7938150160226,0.0,0.0
20171018,sbarnes,009,-12.58,auto,0,5000.0,3039.891442831784,0.0,0.0
20171018,sbarnes,009,-12.58,delta,0,0.0,19574.602969416224,16212.986246791392,1.0
20171018,sbarnes,009,-12.58,delta,0,0.1,17448.957372305653,14036.408140939297,1.0
20171018,sbarnes,009,-12.58,delta,0,5.0,17769.422943604124,14431.962292158161,1.0
20171018,sbarnes,009,-12.58,delta,0,10.0,17377.00206855168,14067.100336493182,1.0
20171018,sbarnes,009,-12.58,delta,0,25.0,16760.742217529918,13493.737836028733,1.0
20171018,sbarnes,009,-12.58,delta,0,50.0,17277.479762823117,13947.040700196283,1.0
20171018,sbarnes,009,-12.58,delta,0,75.0,17572.38006454599,14177.574846692136,1.0
20171018,sbarnes,009,-12.58,delta,0,100.0,16840.256133893676,13478.554227122659,1.0
20171018,sbarnes,009,-12.58,delta,0,250.0,15514.002659100333,12217.723355714714,1.0
20171018,sbarnes,009,-12.58,delta,0,500.0,15760.691520934352,12546.874774717517,1.0
20171018,sbarnes,009,-12.58,delta,0,1000.0,15834.001101121905,12637.207286105882,1.0
20171018,sbarnes,009,-12.58,delta,0,5000.0,13195.028838200322,10155.137395368538,1.0
20171018,sbarnes,009,-12.58,RBS1027,130,0.0,4631.545490630825,1269.9287680059915,0.07832787548668371
20171018,sbarnes,009,-12.58,RBS1027,130,0.1,4632.112378190979,1219.563146824622,0.08688570000095555
20171018,sbarnes,009,-12.58,RBS1027,130,5.0,5826.825216737939,2489.3645652919754,0.172489680536694
20171018,sbarnes,009,-12.58,RBS1027,130,10.0,6726.805569309165,3416.9038372506666,0.24290036720549005
20171018,sbarnes,009,-12.58,RBS1027,130,25.0,10837.948007371051,7570.943625869867,0.5610708995438753
20171018,sbarnes,009,-12.58,RBS1027,130,50.0,14564.73390098262,11234.294838355785,0.8054966698561136
20171018,sbarnes,009,-12.58,RBS1027,130,75.0,15328.594963479705,11933.789745625852,0.841737030110633
20171018,sbarnes,009,-12.58,RBS1027,130,100.0,16002.19844213174,12640.496535360722,0.9378228793949185
20171018,sbarnes,009,-12.58,RBS1027,130,250.0,15628.992758421222,12332.713455035602,1.0094117452141445
20171018,sbarnes,009,-12.58,RBS1027,130,500.0,15955.729336811584,12741.91259059475,1.0155447328023264
20171018,sbarnes,009,-12.58,RBS1027,130,1000.0,14824.194060634087,11627.400245618064,0.9200925475363484
20171018,sbarnes,009,-12.58,RBS1027,130,5000.0,13553.595470434497,10513.704027602713,1.0353088902960295
20171018,sbarnes,013,-10.18,auto,0,0.0,3327.147872649307,0.0,0.0
20171018,sbarnes,013,-10.18,auto,0,0.1,3371.968497110265,0.0,0.0
20171018,sbarnes,013,-10.18,auto,0,5.0,3298.05662629589,0.0,0.0
20171018,sbarnes,013,-10.18,auto,0,10.0,3313.173125298568,0.0,0.0
20171018,sbarnes,013,-10.18,auto,0,25.0,3293.8470771169186,0.0,0.0
20171018,sbarnes,013,-10.18,auto,0,50.0,3365.0768345404217,0.0,0.0
20171018,sbarnes,013,-10.18,auto,0,75.0,3357.97421212292,0.0,0.0
20171018,sbarnes,013,-10.18,auto,0,100.0,3347.533210140312,0.0,0.0
20171018,sbarnes,013,-10.18,auto,0,250.0,3310.049129719905,0.0,0.0
20171018,sbarnes,013,-10.18,auto,0,500.0,3302.116219326576,0.0,0.0
20171018,sbarnes,013,-10.18,auto,0,1000.0,3218.7815685700252,0.0,0.0
20171018,sbarnes,013,-10.18,auto,0,5000.0,3080.3928544845244,0.0,0.0
20171018,sbarnes,013,-10.18,delta,0,0.0,20723.639102627876,17396.49122997857,1.0
20171018,sbarnes,013,-10.18,delta,0,0.1,23430.98694684416,20059.018449733896,1.0
20171018,sbarnes,013,-10.18,delta,0,5.0,23845.80661731599,20547.7499910201,1.0
20171018,sbarnes,013,-10.18,delta,0,10.0,24338.250002461395,21025.076877162828,1.0
20171018,sbarnes,013,-10.18,delta,0,25.0,23070.890769549474,19777.043692432555,1.0
20171018,sbarnes,013,-10.18,delta,0,50.0,23789.02935880069,20423.95252426027,1.0
20171018,sbarnes,013,-10.18,delta,0,75.0,22943.052304765813,19585.078092642892,1.0
20171018,sbarnes,013,-10.18,delta,0,100.0,32075.812020817953,28728.278810677642,1.0
20171018,sbarnes,013,-10.18,delta,0,250.0,22040.182134835468,18730.133005115564,1.0
